Start Date,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity
13-08-2009,456.72,79.78,198.74,179.76,108.7,44.11,124.38,59.74,142.45,85.35,285.65,138.45,194.2,72.69,103.68,803.9,1505.85,263.4,257.98,188.53,664.64,1373.1
14-08-2009,459.46,78.32,197.53,180.08,108.35,44.09,122.33,60.03,142.73,87.08,282.2,136.57,203.42,73.83,102.64,802.95,1478.1,256.9,255.29,184.18,660.64,1349.25
17-08-2009,438.14,74.18,186.86,171.35,100.25,41.08,118.04,58.49,140.62,84.36,266.1,135.17,194.16,68.38,99.73,792.25,1389.75,248.4,247.81,170.45,627.96,1275.6
18-08-2009,437.97,74.9,192.23,173.45,106.55,42.37,117.91,58.85,144.09,86.53,264.05,134.9,197.03,71.03,100.42,789.75,1391.6,258.6,246.67,173.66,657.11,1300.4
19-08-2009,425.48,74.28,185.04,169.11,102.7,40.69,117.12,58.77,144.98,86.41,258.15,130.57,193.32,68.91,99.3,799.55,1359.2,256.9,243.94,169.11,658.67,1301.85
20-08-2009,428.31,75.05,193.46,175.32,103.25,41.47,118.91,59.9,148.01,86.03,257.75,131.2,196.58,69.6,101.26,802.6,1413.65,256.6,248.81,175.4,659.09,1370.5
21-08-2009,435.17,76.32,200.15,177.58,104.05,41.74,118.81,60.76,146.6,88.43,259.15,130.8,198.59,70.13,102.95,804.45,1482.9,260.75,254.14,179.94,659.24,1388.2
24-08-2009,445.44,79.98,203.35,179.02,108.45,42.98,118.98,60.79,148.47,86.33,259.05,133.45,199.31,71.65,105.22,805.6,1527.05,268.95,259.49,183.06,689.02,1431.7
25-08-2009,457.02,80.17,202.56,174.76,107.95,42.95,119.43,60.96,148.7,83.81,260.6,135.97,197.28,71.51,109.12,809.4,1515.2,269.5,261.88,180.3,699.33,1417.75
26-08-2009,460.29,79.67,203.3,173.97,107.05,43.17,120.62,60.54,146.06,83.53,261.5,137.07,195.68,72.38,111.78,825.8,1498.95,263.1,272.46,181.8,700.2,1405.25
27-08-2009,460.79,79.97,205.74,175.38,106.05,40.87,121.57,62.54,145.7,82.32,269.15,136.98,195.54,71.1,114.12,814.9,1471.15,256.4,273.98,178.65,711.31,1415.9
28-08-2009,467.95,78.87,206.85,178.18,109.1,41.15,120.02,62.18,145.78,82.25,272.15,139.98,196.45,70.97,113.36,817.4,1507.1,260.35,273.83,181.16,719.27,1421.4
